Z,Regular price,Sale price
100001256,  25.98 ,  20.45 
100001257,  28.33 ,  17.83 
100001261,  30.05 ,  18.56 
100001262,  17.71 ,  12.38 
100001263,  142.64 ,  127.76 
100001265,  16.65 ,  15.37 
100001266,  37.88 ,  29.81 
100001268,  50.80 ,  39.08 
100001269,  39.91 ,  37.19 
100001270,  28.10 ,  25.17 
100001271,  87.30 ,  69.66 
100001272,  41.04 ,  36.76 
100001273,  99.83 ,  99.35 
100001274,  31.15 ,  24.67 
100001275,  57.53 ,  49.34 
100001276,  29.10 ,  17.78 
100001277,  16.65 ,  11.63 
100001278,  41.56 ,  23.84 
100001279,  15.79 ,  12.14 
100001280,  6.13 ,  5.16 
100001281,  28.33 ,  24.14 
100001282,  52.46 ,  47.46 
100001283,  28.33 ,  24.14 
100001284,  25.83 ,  25.83 
100001285,  33.16 ,  11.81 
100001286,  30.57 ,  21.68 
100001287,  157.75 ,  112.82 
100001288,  62.35 ,  44.46 
100001289,  25.24 ,  25.24 
100001290,  37.74 ,  21.26 
100001291,  70.71 ,  41.39 
100001292,  18.87 ,  12.15 
100001293,  29.42 ,  22.63 
100001294,  37.89 ,  33.94 
100001295,  13.75 ,  12.40 
100001297,  21.17 ,  18.97 
100001298,  66.31 ,  44.15 
100001299,  19.78 ,  17.80 
100001301,  58.26 ,  33.11 
100001302,  21.57 ,  16.65 
100001303,  38.95 ,  24.70 
100001304,  27.37 ,  19.73 
100001305,  73.70 ,  59.18 
100001306,  32.97 ,  30.17 
100001308,  23.14 ,  17.80 
100001309,  13.85 ,  11.83 
100001311,  17.74 ,  13.65 
100001312,  19.64 ,  14.81 
100001313,  29.70 ,  26.60 
100001315,  9.89 ,  7.97 
100001316,  21.29 ,  15.49 
100001317,  9.89 ,  7.97 
100001318,  25.83 ,  19.87 
100001320,  19.77 ,  19.33 
100001322,  30.93 ,  27.81 
100001323,  44.48 ,  39.84 
100001324,  16.86 ,  15.66 
100001325,  28.95 ,  26.54 
100001326,  53.13 ,  48.29 
100001327,  21.20 ,  21.20 
100001328,  45.75 ,  40.98 
100001329,  21.57 ,  15.87 
100001330,  56.32 ,  37.25 
100001331,  22.91 ,  20.56 
100001332,  53.45 ,  41.12 
100001335,  22.54 ,  19.10 
100001336,  40.88 ,  38.20 
100001338,  21.57 ,  10.71 
